symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,r_multiple,exit_reason
AMT,2023-12-21,2024-01-11,193.66,189.89,138,-520.17,-0.19,trailing_stop
BAC,2024-01-04,2024-01-12,31.65,30.86,886,-700.14,-0.25,trailing_stop
CL,2023-12-22,2024-01-24,73.32,75.59,369,837.29,0.31,time_exit
NVDA,2024-01-02,2024-01-31,49.16,61.42,568,6964.36,2.49,time_exit
AMD,2024-01-12,2024-01-31,148.04,164.53,188,3099.8,1.11,trailing_stop
BRK-B,2024-01-03,2024-02-01,362.08,386.44,77,1875.72,0.67,time_exit
ACN,2024-01-16,2024-02-13,335.01,346.2,82,917.19,0.33,time_exit
ADBE,2024-02-01,2024-02-13,619.0,595.96,48,-1105.91,-0.37,trailing_stop
ABBV,2024-01-25,2024-02-23,150.77,163.72,185,2396.32,0.86,time_exit
BRK-B,2024-02-14,2024-02-26,395.15,411.91,76,1273.87,0.42,trailing_stop
ABT,2024-02-01,2024-03-01,107.02,112.6,280,1560.12,0.52,time_exit
AMZN,2024-02-02,2024-03-04,169.19,177.58,179,1501.81,0.49,time_exit
ACN,2024-03-04,2024-03-11,364.8,352.18,85,-1072.98,-0.34,trailing_stop
EMR,2024-02-14,2024-03-14,100.83,105.88,300,1516.78,0.5,time_exit
BLK,2024-02-27,2024-03-14,764.08,767.92,40,153.69,0.05,trailing_stop
BNY,2024-02-26,2024-03-15,52.36,51.04,588,-776.31,-0.25,trailing_stop
AMT,2024-03-05,2024-03-15,188.74,179.29,167,-1576.77,-0.5,trailing_stop
ABBV,2024-03-12,2024-04-04,165.22,161.09,190,-783.86,-0.25,trailing_stop
C,2024-03-18,2024-04-05,53.97,56.5,580,1468.37,0.47,trailing_stop
BAC,2024-03-18,2024-04-11,33.86,34.49,924,579.42,0.19,trailing_stop
BRK-B,2024-04-05,2024-04-11,416.56,405.33,74,-831.34,-0.27,trailing_stop
BNY,2024-04-08,2024-04-11,53.91,52.05,583,-1081.7,-0.34,trailing_stop
AMZN,2024-03-15,2024-04-15,176.64,183.62,179,1249.42,0.39,time_exit
CAT,2024-03-18,2024-04-16,336.99,349.2,92,1122.94,0.36,trailing_stop
AVGO,2024-04-12,2024-04-17,132.29,126.01,235,-1474.01,-0.47,trailing_stop
COST,2024-04-12,2024-04-19,717.91,699.29,43,-800.55,-0.26,trailing_stop
GD,2024-04-15,2024-04-24,279.37,271.34,111,-890.97,-0.29,trailing_stop
RTX,2024-04-16,2024-05-14,95.75,100.96,328,1707.39,0.54,time_exit
SCHW,2024-04-17,2024-05-15,71.13,76.4,445,2342.13,0.74,time_exit
WFC,2024-04-18,2024-05-16,54.44,58.01,576,2057.38,0.66,time_exit
DE,2024-05-15,2024-05-16,402.28,385.76,77,-1272.42,-0.41,trailing_stop
AXP,2024-04-22,2024-05-20,226.44,236.46,137,1373.06,0.44,time_exit
CL,2024-04-25,2024-05-23,84.49,88.98,367,1647.98,0.53,time_exit
BRK-B,2024-05-17,2024-05-28,413.98,404.27,77,-747.59,-0.23,trailing_stop
C,2024-05-21,2024-05-29,59.53,57.69,542,-997.95,-0.31,trailing_stop
BAC,2024-05-24,2024-05-30,37.18,35.87,876,-1153.17,-0.35,trailing_stop
AVGO,2024-05-17,2024-05-31,138.2,129.51,231,-2005.95,-0.63,trailing_stop
AXP,2024-06-03,2024-06-07,234.39,227.07,134,-981.0,-0.31,trailing_stop
AMD,2024-05-29,2024-06-11,167.46,158.01,193,-1824.21,-0.56,trailing_stop
BNY,2024-05-31,2024-06-13,55.76,55.31,574,-257.87,-0.08,trailing_stop
ABT,2024-06-10,2024-06-13,102.67,99.26,306,-1043.06,-0.33,trailing_stop
AMAT,2024-05-16,2024-06-14,214.21,233.1,148,2795.54,0.88,time_exit
AVGO,2024-06-12,2024-06-21,146.77,163.42,211,3514.06,1.13,trailing_stop
COST,2024-05-30,2024-06-28,800.25,839.55,40,1572.05,0.49,time_exit
ABBV,2024-06-24,2024-07-03,158.79,152.52,201,-1260.32,-0.39,trailing_stop
NFLX,2024-06-17,2024-07-11,66.91,65.71,468,-560.25,-0.18,trailing_stop
AMZN,2024-06-14,2024-07-16,183.08,193.02,168,1669.92,0.54,time_exit
BAC,2024-06-14,2024-07-16,37.35,42.16,824,3959.33,1.29,time_exit
LLY,2024-07-05,2024-07-17,884.79,896.79,36,432.11,0.13,trailing_stop
AMD,2024-07-12,2024-07-17,182.02,168.21,175,-2417.19,-0.76,trailing_stop
BKNG,2024-07-01,2024-07-18,156.54,155.23,206,-271.02,-0.08,trailing_stop
BNY,2024-07-17,2024-07-18,62.17,59.89,532,-1213.66,-0.37,trailing_stop
C,2024-07-18,2024-07-19,63.57,60.76,514,-1443.1,-0.44,trailing_stop
AXP,2024-07-19,2024-07-22,236.67,235.67,137,-137.0,-0.04,trailing_stop
CAT,2024-07-19,2024-07-24,345.29,330.66,93,-1360.5,-0.42,trailing_stop
CL,2024-07-22,2024-07-24,93.63,91.3,343,-799.94,-0.25,trailing_stop
ABBV,2024-07-18,2024-07-25,163.36,162.84,200,-103.05,-0.03,trailing_stop
BLK,2024-07-17,2024-08-02,811.26,806.73,40,-181.01,-0.05,trailing_stop
GE,2024-07-23,2024-08-02,164.1,160.01,195,-798.25,-0.25,trailing_stop
AMGN,2024-07-25,2024-08-02,315.99,307.15,100,-884.47,-0.28,trailing_stop
AMGN,2024-08-05,2024-08-07,312.92,300.41,100,-1250.69,-0.4,trailing_stop
AMT,2024-07-25,2024-08-12,196.3,205.61,161,1498.33,0.47,trailing_stop
ABBV,2024-07-26,2024-08-23,171.79,184.99,184,2429.45,0.77,time_exit
CL,2024-08-05,2024-09-03,98.27,102.84,318,1453.44,0.46,time_exit
IBM,2024-08-05,2024-09-03,173.41,190.79,180,3127.46,1.0,time_exit
RTX,2024-08-13,2024-09-05,112.22,114.62,279,670.02,0.21,trailing_stop
PG,2024-08-08,2024-09-06,160.52,166.37,193,1128.27,0.36,time_exit
ADBE,2024-09-04,2024-09-13,568.87,546.62,57,-1268.04,-0.39,trailing_stop
AMT,2024-09-09,2024-09-19,219.48,214.63,150,-726.76,-0.22,trailing_stop
JNJ,2024-08-26,2024-09-24,155.11,154.59,205,-107.65,-0.03,trailing_stop
ABBV,2024-09-04,2024-09-25,186.05,179.09,176,-1225.18,-0.37,trailing_stop
AMGN,2024-09-25,2024-09-26,311.57,301.51,104,-1046.05,-0.32,trailing_stop
BNY,2024-09-06,2024-10-04,65.45,69.13,502,1846.53,0.56,time_exit
AVGO,2024-09-16,2024-10-14,162.14,179.53,202,3513.29,1.07,time_exit
AAPL,2024-09-20,2024-10-18,228.06,233.05,143,713.32,0.22,time_exit
