symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,r_multiple,exit_reason
AAPL,2024-12-03,2024-12-20,238.08,252.52,484,6986.16,1.91,target
ACN,2024-12-20,2024-12-27,358.1,342.28,236,-3733.15,-1.0,stop
AAPL,2024-12-23,2025-01-02,252.93,244.16,441,-3871.1,-1.0,stop
V,2024-12-20,2025-01-13,310.08,301.85,454,-3734.39,-1.0,stop
NVDA,2025-01-06,2025-01-13,148.37,133.98,258,-3713.34,-1.0,stop
C,2025-01-14,2025-01-15,70.28,75.63,1032,5520.69,1.54,target
GILD,2024-12-16,2025-01-16,88.37,88.08,942,-280.63,-0.07,time_exit
JPM,2025-01-06,2025-01-17,236.52,251.37,378,5612.15,1.51,target
AXP,2024-12-18,2025-01-21,296.96,312.75,346,5465.91,1.41,time_exit
ABT,2025-01-22,2025-01-24,110.54,120.51,3485,34744.28,8.9,target
CVX,2025-01-14,2025-01-31,145.56,140.29,678,-3573.5,-1.0,stop
BAC,2025-01-16,2025-02-03,45.44,43.71,2130,-3687.95,-1.0,stop
BRK-B,2025-01-21,2025-02-03,471.0,454.99,237,-3793.47,-1.0,stop
BMY,2025-02-04,2025-02-06,54.85,53.48,3194,-4378.39,-1.0,stop
AXP,2025-01-27,2025-02-10,312.93,303.21,472,-4590.64,-1.0,stop
BAC,2025-02-07,2025-02-12,46.25,44.44,2369,-4290.36,-1.0,stop
BNY,2025-01-17,2025-02-18,79.57,86.04,1093,7078.83,1.92,target
AMZN,2025-02-04,2025-02-18,239.01,226.41,347,-4372.38,-1.0,stop
ACN,2025-02-03,2025-02-21,369.75,357.68,375,-4528.41,-1.0,stop
BNY,2025-02-19,2025-02-25,85.9,83.47,1714,-4167.51,-1.0,stop
COF,2025-02-19,2025-02-25,200.4,190.02,401,-4162.62,-1.0,stop
COST,2025-02-26,2025-02-27,1041.25,1010.67,127,-3883.15,-0.99,stop
AAPL,2025-02-24,2025-02-28,243.43,233.51,410,-4069.64,-1.0,stop
CVX,2025-02-28,2025-03-04,148.59,143.27,720,-3830.59,-1.0,stop
MCD,2025-02-11,2025-03-12,296.68,290.66,448,-2698.92,-0.64,time_exit
CSCO,2025-02-13,2025-03-12,63.95,58.47,751,-4110.77,-1.0,stop
BRK-B,2025-02-26,2025-03-25,499.12,532.9,246,8308.89,2.12,target
ABBV,2025-03-05,2025-03-26,197.3,189.73,485,-3671.54,-1.0,stop
BMY,2025-03-03,2025-03-31,55.67,56.82,1305,1507.65,0.4,time_exit
CVX,2025-04-01,2025-04-03,158.63,152.95,644,-3658.92,-1.0,stop
DUK,2025-03-13,2025-04-04,111.98,119.91,802,6357.14,1.8,target
BRK-B,2025-03-31,2025-04-04,521.4,508.38,278,-3619.26,-1.0,stop
CVS,2025-03-17,2025-04-07,62.24,58.54,953,-3535.12,-1.0,stop
KO,2025-04-04,2025-04-07,69.93,68.12,1989,-3587.5,-1.0,stop
LIN,2025-04-04,2025-04-07,456.74,444.77,299,-3577.3,-1.0,stop
PG,2025-04-15,2025-04-24,162.18,153.84,411,-3426.82,-1.0,stop
CVS,2025-04-09,2025-05-08,63.05,65.05,956,1913.81,0.56,time_exit
PLTR,2025-04-16,2025-05-13,96.28,129.43,256,8485.77,2.47,target
WMT,2025-04-15,2025-05-14,93.81,96.03,510,1132.27,0.33,time_exit
PM,2025-04-17,2025-05-16,154.5,163.25,382,3344.27,0.98,time_exit
BA,2025-04-25,2025-05-23,176.5,202.36,198,5120.28,1.52,time_exit
BNY,2025-05-09,2025-06-09,84.08,88.0,648,2540.44,0.75,time_exit
BKNG,2025-05-14,2025-06-12,208.22,216.65,301,2536.83,0.71,time_exit
COF,2025-05-15,2025-06-13,192.07,190.03,279,-568.57,-0.16,time_exit
ABT,2025-05-19,2025-06-17,131.36,128.71,581,-1537.72,-0.42,time_exit
IBM,2025-06-10,2025-06-24,264.48,283.09,349,6494.75,1.7,target
PM,2025-05-27,2025-06-25,170.68,172.03,583,787.38,0.21,time_exit
ABT,2025-06-25,2025-06-26,134.15,129.45,840,-3946.73,-1.0,stop
MO,2025-06-13,2025-07-09,55.41,53.47,1989,-3860.91,-1.0,stop
CSCO,2025-07-10,2025-07-14,67.85,65.9,1947,-3807.74,-1.0,stop
BNY,2025-06-18,2025-07-15,87.94,93.41,1274,6966.57,1.82,target
C,2025-06-26,2025-07-15,80.43,86.51,1279,7780.19,1.96,target
AMT,2025-06-16,2025-07-16,205.08,215.05,651,6493.53,1.69,time_exit
JNJ,2025-07-15,2025-07-16,152.55,161.74,952,8747.28,2.34,target
MMM,2025-07-16,2025-07-18,154.73,147.63,567,-4024.4,-1.0,stop
